ts_utc,ticker,expiry,spot,max_pain,gap_pct,total_value_at_mp,call_oi,put_oi,pc_ratio,strikes
2026-09-18 03:21,SPY,2026-09-18,762.68,755.0,-1.007,1656581100.0,1320262,3938697,2.983,321
2026-09-18 03:21,SPY,2026-09-21,762.68,757.0,-0.745,12253900.0,75719,79570,1.051,119
2026-09-18 03:21,QQQ,2026-09-18,716.87,700.0,-2.353,1374487100.0,1158564,1530586,1.321,265
2026-09-18 03:21,QQQ,2026-09-21,716.87,715.0,-0.261,8456400.0,31021,95333,3.073,133
2026-09-18 03:21,IWM,2026-09-18,285.41,290.0,1.608,172754300.0,643824,1660749,2.58,119
2026-09-18 03:21,IWM,2026-09-21,285.41,280.0,-1.896,4809450.0,23648,45315,1.916,65
2026-09-18 17:13,SPY,2026-09-18,759.14,765.0,0.772,173650000.0,1086778,4088011,3.762,321
2026-09-18 17:13,SPY,2026-09-21,759.14,760.0,0.113,5760400.0,113639,108706,0.957,119
2026-09-18 17:13,QQQ,2026-09-18,716.83,701.0,-2.208,1448950700.0,1186891,1576365,1.328,265
2026-09-18 17:13,QQQ,2026-09-21,716.83,715.0,-0.255,9760400.0,61419,146995,2.393,133
2026-09-18 17:13,IWM,2026-09-18,283.05,289.0,2.102,157154500.0,645790,1566699,2.426,119
2026-09-18 17:13,IWM,2026-09-21,283.05,283.0,-0.018,6515800.0,32358,53149,1.643,65
2026-09-18 17:53,SPY,2026-09-18,759.84,765.0,0.679,173650000.0,1086778,4088011,3.762,321
2026-09-18 17:53,SPY,2026-09-21,759.84,760.0,0.021,5760400.0,113639,108706,0.957,119
2026-09-18 17:53,QQQ,2026-09-18,717.57,701.0,-2.309,1448950700.0,1186891,1576365,1.328,265
2026-09-18 17:53,QQQ,2026-09-21,717.57,715.0,-0.358,9760400.0,61419,146995,2.393,133
2026-09-18 17:53,IWM,2026-09-18,283.38,289.0,1.983,157154500.0,645790,1566699,2.426,119
2026-09-18 17:53,IWM,2026-09-21,283.38,283.0,-0.134,6515800.0,32358,53149,1.643,65
2026-09-18 19:51,SPY,2026-09-18,761.33,765.0,0.482,173650000.0,1086778,4088011,3.762,321
2026-09-18 19:51,SPY,2026-09-21,761.33,760.0,-0.175,5760400.0,113639,108706,0.957,119
2026-09-18 19:51,QQQ,2026-09-18,719.93,701.0,-2.629,1448950700.0,1186891,1576365,1.328,265
2026-09-18 19:51,QQQ,2026-09-21,719.93,715.0,-0.685,9760400.0,61419,146995,2.393,133
2026-09-18 19:51,IWM,2026-09-18,283.93,289.0,1.786,157154500.0,645790,1566699,2.426,119
2026-09-18 19:51,IWM,2026-09-21,283.93,283.0,-0.328,6515800.0,32358,53149,1.643,65
2026-09-18 21:05,SPY,2026-09-18,761.63,765.0,0.442,173650000.0,1086778,4088011,3.762,321
2026-09-18 21:05,SPY,2026-09-21,761.63,760.0,-0.214,5760400.0,113639,108706,0.957,119
2026-09-18 21:05,QQQ,2026-09-18,721.36,701.0,-2.822,1448950700.0,1186891,1576365,1.328,265
2026-09-18 21:05,QQQ,2026-09-21,721.36,715.0,-0.882,9760400.0,61419,146995,2.393,133
2026-09-18 21:05,IWM,2026-09-18,284.02,289.0,1.753,157154500.0,645790,1566699,2.426,119
2026-09-18 21:05,IWM,2026-09-21,284.02,283.0,-0.359,6515800.0,32358,53149,1.643,65
2026-09-18 21:56,SPY,2026-09-18,761.63,765.0,0.442,173650000.0,1086778,4088011,3.762,321
2026-09-18 21:56,SPY,2026-09-21,761.63,760.0,-0.214,5760400.0,113639,108706,0.957,119
2026-09-18 21:56,QQQ,2026-09-18,721.36,701.0,-2.822,1448950700.0,1186891,1576365,1.328,265
2026-09-18 21:56,QQQ,2026-09-21,721.36,715.0,-0.882,9760400.0,61419,146995,2.393,133
2026-09-18 21:56,IWM,2026-09-18,284.02,289.0,1.753,157154500.0,645790,1566699,2.426,119
2026-09-18 21:56,IWM,2026-09-21,284.02,283.0,-0.359,6515800.0,32358,53149,1.643,65
2026-09-18 22:50,SPY,2026-09-18,761.63,765.0,0.442,173650000.0,1086778,4088011,3.762,321
2026-09-18 22:50,SPY,2026-09-21,761.63,760.0,-0.214,5760400.0,113639,108706,0.957,119
2026-09-18 22:50,QQQ,2026-09-18,721.36,701.0,-2.822,1448950700.0,1186891,1576365,1.328,265
2026-09-18 22:50,QQQ,2026-09-21,721.36,715.0,-0.882,9760400.0,61419,146995,2.393,133
2026-09-18 22:50,IWM,2026-09-18,284.02,289.0,1.753,157154500.0,645790,1566699,2.426,119
2026-09-18 22:50,IWM,2026-09-21,284.02,283.0,-0.359,6515800.0,32358,53149,1.643,65
2026-09-21 18:54,SPY,2026-09-21,774.59,761.0,-1.754,16745200.0,169382,283692,1.675,141
2026-09-21 18:54,SPY,2026-09-22,774.59,760.0,-1.884,7243400.0,99675,121723,1.221,132
2026-09-21 18:54,QQQ,2026-09-21,741.57,719.0,-3.044,9253300.0,140857,255054,1.811,151
2026-09-21 18:54,QQQ,2026-09-22,741.57,718.0,-3.178,3081600.0,60462,64031,1.059,142
2026-09-21 18:54,IWM,2026-09-21,286.34,283.0,-1.166,6191350.0,42734,67163,1.572,73
2026-09-21 18:54,IWM,2026-09-22,286.34,285.0,-0.468,2741400.0,30175,30070,0.997,60
2026-09-21 19:44,SPY,2026-09-21,774.43,761.0,-1.734,16745200.0,169382,283692,1.675,141
2026-09-21 19:44,SPY,2026-09-22,774.43,760.0,-1.863,7243400.0,99675,121723,1.221,132
2026-09-21 19:44,QQQ,2026-09-21,742.54,719.0,-3.17,9253300.0,140857,255054,1.811,151
2026-09-21 19:44,QQQ,2026-09-22,742.54,718.0,-3.305,3081600.0,60462,64031,1.059,142
